road_id,name,highway,lanes,maxspeed,surface,oneway,bridge,tunnel,osm_id,length_m,geometry_wkt
735,,residential,,,,,,,way/30597377,126.19,"LINESTRING (80.2064849 12.973532, 80.2061591 12.9735439, 80.2058188 12.9735965, 80.2053263 12.9735996)"
736,Balaji Nagar 21st Street,residential,,,,,,,way/30597378,122.46,"LINESTRING (80.2055979 12.9759394, 80.2066474 12.975866, 80.2067091 12.9758216)"
737,Balaji Nagar 23rd Street,residential,,,,,,,way/30597381,168.89,"LINESTRING (80.2070887 12.9753681, 80.2069669 12.975378, 80.2066676 12.9754022, 80.2055371 12.9754912)"
738,,residential,,,,,,,way/30597382,35.26,"LINESTRING (80.2052821 12.9754405, 80.2049584 12.9754688)"
739,,residential,,,,,,,way/30597383,48.3,"LINESTRING (80.2048199 12.9750539, 80.2049584 12.9754688)"
740,Brindavan Nagar Main Road,tertiary,,,asphalt,,,,way/30597384,438.31,"LINESTRING (80.2048945 12.9839602, 80.2048598 12.9835031, 80.2048073 12.982992, 80.2047995 12.9828782, 80.2047434 12.9824459, 80.2046926 12.9822006, 80.2046298 12.9815938, 80.204591 12.9811904, 80.2045304 12.9808604, 80.2044389 12.9804424, 80.204373 12.9800357)"
741,Balaji Nagar 19th Street,residential,,,,,,,way/30597387,208.2,"LINESTRING (80.203775 12.9762664, 80.2048329 12.9764789, 80.2049549 12.9764855, 80.2050783 12.9764711, 80.205659 12.9763548)"
742,Murugappa Street,tertiary,,,,,,,way/30597388,706.22,"LINESTRING (80.1974719 12.9755516, 80.1978612 12.9756148, 80.1989337 12.9757978, 80.1997125 12.9759575, 80.2001078 12.9760303, 80.200366 12.9760779, 80.2006251 12.9761242, 80.2007218 12.9761415, 80.2007478 12.9761462, 80.201146 12.9762205, 80.2017598 12.9763161, 80.2021125 12.9763752, 80.2023433 12.976421, 80.2029361 12.9765487, 80.203874 12.9766987)"
743,,residential,,,,,,,way/30597390,95.18,"LINESTRING (80.1978429 12.9764748, 80.1978585 12.9761044, 80.1978612 12.9756148)"
744,,residential,,,,,,,way/30597391,114.45,"LINESTRING (80.1978585 12.9761044, 80.1985369 12.9761316, 80.1989126 12.976143)"
745,,residential,,,,,,,way/30597392,80.14,"LINESTRING (80.200366 12.9760779, 80.2004154 12.9768007)"
746,,residential,,,,,,,way/30597393,74.45,"LINESTRING (80.2007218 12.9761415, 80.2007812 12.9768119)"
747,,residential,,,,,,,way/30597394,276.8,"LINESTRING (80.201146 12.9762205, 80.2011928 12.9770497, 80.2012032 12.9772934, 80.2012086 12.9777493, 80.2012011 12.9783077, 80.2012088 12.9783727, 80.2012346 12.9787196)"
748,,residential,,,,,,,way/30597395,145.65,"LINESTRING (80.2015426 12.9779997, 80.2015462 12.9777621, 80.2015584 12.977426, 80.2015737 12.9770068, 80.2015844 12.9766838)"
749,,residential,,,,,,,way/30597396,104.67,"LINESTRING (80.2011928 12.9770497, 80.2015737 12.9770068, 80.2021501 12.9769325)"
750,,residential,,,,,,,way/30597397,47.23,"LINESTRING (80.2000495 12.9763807, 80.2000714 12.9768071)"
751,,residential,,,,,,,way/30597398,74.66,"LINESTRING (80.2023433 12.976421, 80.2023466 12.976267, 80.2023389 12.9759368, 80.2023414 12.9757463)"
752,,residential,,,,,,,way/30597399,21.82,"LINESTRING (80.2023389 12.9759368, 80.2021379 12.9759291)"
753,,residential,,,,,,,way/30597400,109.01,"LINESTRING (80.2021196 12.9752541, 80.2021115 12.975, 80.2020755 12.9745696, 80.2020602 12.9744971, 80.2020588 12.9743556, 80.2020568 12.9743082, 80.2020688 12.9742739)"
754,,residential,,,,,,,way/30597401,43.47,"LINESTRING (80.2017427 12.9751207, 80.2021196 12.9752541)"
755,Balaji Nagar 1st Cross Street,residential,,,,,,,way/30597402,153.56,"LINESTRING (80.2023466 12.976267, 80.2027639 12.9762466, 80.2032049 12.9762286, 80.2034964 12.9762125, 80.2037563 12.9761659)"
756,Ganesh Nagar 7th Street,residential,,,,,,,way/30597403,53.65,"LINESTRING (80.2027639 12.9762466, 80.2027562 12.9757617)"
757,Ganesh Nagar 8th Street,residential,,,,,,,way/30597404,45.91,"LINESTRING (80.2032049 12.9762286, 80.2031789 12.9758144)"
758,Balaji Nagar 2nd Cross Street,residential,,,,,,,way/30597405,19.77,"LINESTRING (80.2036816 12.9758015, 80.2035046 12.9758438)"
759,Balaji Nagar 3rd Cross Street,residential,,,,,,,way/30597406,66.69,"LINESTRING (80.2036162 12.9755056, 80.2030332 12.9756967)"
760,Balaji Nagar 4th Cross Street,residential,,,,,,,way/30597407,91.49,"LINESTRING (80.2035931 12.9753552, 80.2044357 12.9753236)"
761,A.G.S. Colony 2nd Street,residential,,,,,,,way/30597409,100.58,"LINESTRING (80.2079338 12.9727103, 80.2088469 12.9725533)"
762,,residential,,,,,,,way/30597410,192.21,"LINESTRING (80.2106258 12.9727839, 80.2106164 12.9727315, 80.210603 12.9727119, 80.2105728 12.9727112, 80.209119 12.9728693, 80.2089802 12.9729171, 80.2089273 12.9729112)"
763,A.G.S. Colony 1st Street,residential,,,,,,,way/30597411,105.62,"LINESTRING (80.2087777 12.9721159, 80.2078171 12.9722706)"
764,,residential,,,,,,,way/30597412,130.01,"LINESTRING (80.207748 12.9717209, 80.2082983 12.9716616, 80.2089384 12.9715862)"
765,,residential,,,,,,,way/30597413,222.97,"LINESTRING (80.2139525 12.9639679, 80.2138602 12.9637441, 80.2137788 12.9635472, 80.2136687 12.9632806, 80.2136111 12.9631412, 80.2135533 12.9630015, 80.2134526 12.9627579, 80.213302 12.9623937, 80.2132668 12.9623084, 80.21318060191334 12.9621)"
766,7th Main Road,residential,,,,,,,way/30597414,290.97,"LINESTRING (80.2106559 12.9622031, 80.2080603 12.9628642)"
767,Ram nagar 6th Main Road,residential,,,sand,,,,way/30597415,311.32,"LINESTRING (80.2081822 12.9633527, 80.2109688 12.9626819)"
768,5th Main Road,residential,,,,,,,way/30597416,309.63,"LINESTRING (80.2110628 12.9631362, 80.2082938 12.9638131)"
769,,residential,,,,,,,way/30597417,130.24,"LINESTRING (80.2001456 12.9655448, 80.2002484 12.9661428, 80.2003232 12.9667089)"
770,,residential,,,,,,,way/30597418,139.14,"LINESTRING (80.1983528 12.9666219, 80.1996083 12.9663657)"
771,,residential,,,,,,,way/30597419,259.94,"LINESTRING (80.1971467 12.9661978, 80.1972764 12.9661715, 80.197429 12.9661392, 80.1974924 12.9661262, 80.1978201 12.966071, 80.1981848 12.9660321, 80.1985354 12.9659208, 80.1994933 12.9657445)"
772,Bharathiyar Street,residential,,,,,,,way/30597420,153.91,"LINESTRING (80.1985614 12.9648709, 80.1993442 12.9641124, 80.1995543 12.9638781)"
773,2nd Street,residential,,,,,,,way/30597421,221.18,"LINESTRING (80.1993214 12.9638573, 80.1992775 12.9626195, 80.1994327 12.9625951, 80.200042 12.9624908)"
774,,residential,,,,,,,way/30597422,123.29,"LINESTRING (80.2011773 12.9624683, 80.2009892 12.9624664, 80.2005096 12.9624615, 80.2003617 12.9624696, 80.200042 12.9624908)"
775,,residential,,,,,,,way/30597423,248.56,"LINESTRING (80.2004956 12.9638596, 80.2004322 12.9634309, 80.2004118 12.9633291, 80.2003882 12.9632396, 80.2003605 12.9630789, 80.200436 12.9630539, 80.2018269 12.9628714)"
776,4th Main Road,residential,1,,,no,,,way/30597424,567.96,"LINESTRING (80.2008409 12.9649441, 80.2012214 12.9648832, 80.2015032 12.9648523, 80.2016582 12.9648345, 80.2018126 12.964836, 80.2027394 12.9648137, 80.2031954 12.9647914, 80.2035762 12.9647535, 80.2044009 12.9645481, 80.2060107 12.9642522)"
777,,residential,,,,,,,way/30597425,169.73,"LINESTRING (80.2018444 12.9645179, 80.2016193 12.9645252, 80.201418 12.9645458, 80.2010723 12.9645874, 80.2006701 12.964644, 80.2003056 12.9647141, 80.2002998 12.9647142, 80.2002951 12.964713)"
778,,residential,,,,,,,way/30597426,53.72,"LINESTRING (80.2006194 12.9654851, 80.2005194 12.9650095)"
779,,residential,,,,,,,way/30597428,54.42,"LINESTRING (80.2017794 12.9637585, 80.201778 12.9632666)"
780,,residential,,,,,,,way/30597429,92.09,"LINESTRING (80.2018597 12.9632544, 80.2018269 12.9628714, 80.2018325 12.9628225, 80.2017814 12.9624822, 80.2017701 12.9624284)"
781,Rajaji Nagar Main Road,residential,1,,paved,no,,,way/30597832,347.33,"LINESTRING (80.2032627 12.9630709, 80.203277 12.9631075, 80.2033087 12.9631188, 80.2033803 12.9631025, 80.2040568 12.9628966, 80.2043977 12.9627464, 80.204416 12.9627314, 80.2044211 12.9627206, 80.2044295 12.9626896, 80.2044286 12.9626662, 80.2048362 12.9625129, 80.2055655 12.9622727, 80.2057539 12.9622176, 80.206151 12.9621091, 80.20621502180747 12.9621)"
782,,residential,,,,,,,way/30597834,8.8,"LINESTRING (80.2047373 12.9621247, 80.20481442075356 12.9621)"
783,,residential,,,,,,,way/30597835,1.04,"LINESTRING (80.206151 12.9621091, 80.20614875975457 12.9621)"
784,Bazaar Road,secondary,2,20,asphalt,yes,,,way/30598635,765.39,"LINESTRING (80.2071462 12.9652122, 80.2070951 12.9652204, 80.206552 12.965308, 80.206363 12.9653218, 80.206289 12.9653085, 80.2062428 12.9653051, 80.2061874 12.9653011, 80.2060895 12.9653129, 80.2058648 12.9653441, 80.2046618 12.9655796, 80.2043863 12.9656308, 80.2043452 12.965638, 80.2039051 12.9657147, 80.2035749 12.9657795, 80.2033056 12.9657968, 80.202278 12.9658239, 80.2020665 12.9658297, 80.2019549 12.965833, 80.2018922 12.9658156, 80.2018234 12.9657507, 80.2018046 12.965637, 80.2017839 12.9654916, 80.2017569 12.9653921, 80.2017134 12.9653521, 80.2016547 12.9653251, 80.2015807 12.965309, 80.2014939 12.9653058, 80.2012837 12.9653423, 80.2006194 12.9654851, 80.2005331 12.9655186)"
785,Major Mukund Varadharajan Salai,primary,,40,asphalt,yes,,,way/30598636,49.33,"LINESTRING (80.2164817 12.9645798, 80.2163197 12.9641632)"
786,Velachery MRTS Bridge,primary,2,50,asphalt,yes,yes,,way/30598638,682.94,"LINESTRING (80.2188214 12.9704804, 80.2165229 12.9647335)"
787,,residential,,,,,,,way/30598640,130.02,"LINESTRING (80.2148218 12.9703394, 80.2148372 12.9703296, 80.2160021 12.9701452)"
788,,residential,,,,,,,way/30598642,173.86,"LINESTRING (80.2135734 12.9720386, 80.214614 12.9719631, 80.2146924 12.9719623, 80.2147333 12.9719759, 80.2147666 12.9720004, 80.2148331 12.972383)"
789,,residential,,,,,,,way/30598643,299.4,"LINESTRING (80.2130977 12.9736589, 80.2126642 12.9737212, 80.2126355 12.9741865, 80.2126071 12.9746042, 80.2126029 12.9750123, 80.2125753 12.9754002, 80.2125508 12.9758648, 80.2125413 12.9759941)"
790,,residential,,,,,,,way/30598644,311.03,"LINESTRING (80.2164019 12.9726539, 80.2150515 12.9726837, 80.2150472 12.9728131, 80.2136648 12.9728784)"
